label,MW,Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio
1,1502.67,-0.01,-6.654821085135126e-06,6.8125,-7.633333333333333,0.0,84.66666666666666,1.088,0.3333333333333333
1,2387.62,2.031,0.0008506378736984949,11.400390625,21.708695652173905,0.0,76.52173913043478,2.115217391304348,0.30434782608695654
1,2091.21,-2.013,-0.0009626005996528325,3.977783203125,89.38333333333334,0.1111111111111111,37.77777777777778,3.7716666666666665,0.16666666666666666
1,2360.63,1.983,0.0008400299919936627,9.769287109375,34.800000000000004,0.15,68.5,2.0985000000000005,0.25
1,1782.02,0.989,0.0005549881595043826,10.025390625,25.494117647058825,0.0,120.58823529411765,1.0311764705882354,0.47058823529411764
1,1574.98,2.989,0.0018978018768492297,13.0,99.16428571428573,0.14285714285714285,83.57142857142857,-0.49571428571428566,0.42857142857142855
1,2788.02,-3.316,-0.0011893745382027389,4.006103515625,69.15416666666667,0.041666666666666664,44.58333333333332,3.3895833333333343,0.25
1,2298.62,-0.009,-3.915392713889203e-06,6.9375,24.515,0.1,102.5,1.797,0.5
1,1517.78,0.682,0.00044934048412813456,8.0947265625,30.735714285714288,0.0,90.71428571428571,1.9135714285714287,0.5
1,1503.76,0.682,0.0004535298185880726,8.0947265625,56.90714285714287,0.0,77.14285714285714,1.9364285714285716,0.5
1,1547.81,0.682,0.0004406225570321939,8.0947265625,43.15,0.0,83.57142857142856,2.0914285714285716,0.42857142857142855
1,1163.21,-0.012,-1.0316279949450227e-05,6.8125,49.118181818181824,0.09090909090909091,35.45454545454546,2.9909090909090916,0.18181818181818182
1,1381.42,0.988,0.0007152060922818548,9.7353515625,55.233333333333334,0.08333333333333333,32.49999999999999,4.2375,0.16666666666666666
1,2218.4,-1.013,-0.0004566354129102055,4.150390625,130.445,0.1,10.0,1.8519999999999999,0.1
1,2044.12,5.032,0.002461695008120854,12.69970703125,100.32631578947368,0.0,0.0,5.832631578947369,0.0
1,1457.69,1.987,0.0013631156144310519,10.458984375,34.87500000000001,0.0625,30.625,-0.35874999999999996,0.125
1,2037.37,1.989,0.0009762586079111798,10.6796875,4.300000000000001,0.0,117.89473684210525,1.5442105263157895,0.42105263157894735
